draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
50,19032,323646.5265984142,2241994.820045336,280249.352505667,440170.28236512013,280249.352505667,0.9403253761837518,263525.5778201442,3660.077469724225
51,17920,448142.1815400149,2075676.2023914678,259459.52529893347,377864.0152172132,259459.52529893347,0.9124611664303555,236746.74109573115,3288.149181885155
52,4572,445790.36480880575,2092595.9458340541,261574.49322925677,393983.5789891683,261574.49322925677,0.9196700545027023,240562.22844466733,3341.1420617314907
53,7315,428315.97726716363,2179125.151805279,272390.64397565986,412568.7069584356,272390.64397565986,0.9279815764046652,252773.49919441473,3510.7430443668713
54,14284,413445.09476724657,1908716.487312241,238589.56091403012,369731.85713542026,238589.56091403012,0.9088243547754228,216836.00375384485,3011.611163247845
55,2594,498394.25019778014,2076619.0154724505,259577.37693405632,421367.4132838511,259577.37693405632,0.9319164774962025,241904.43475008977,3359.7838159734692
56,6743,425807.53749548394,2093363.7858547387,261670.47323184233,534295.8569373674,261670.47323184233,0.9745599252652379,255013.5568369437,3541.8549560686624
57,19244,450896.86920944863,2221585.43635965,277698.17954495625,526535.5756353205,277698.17954495625,0.9718716849660036,269886.9976663484,3748.430523143728
58,18656,441132.87283429696,2431446.3664647695,303930.7958080962,363227.77432518516,303930.7958080962,0.9059156405164281,275335.6615571592,3824.1064105161004
59,6338,343808.93839106685,2516389.3465182027,314548.66831477534,386811.9034181937,314548.66831477534,0.9164627836848476,288272.1481681208,4003.7798356683447
60,13564,365800.1328424408,2215022.8472928507,276877.85591160634,416152.5624638369,276877.85591160634,0.9295843253109881,257381.31488114357,3574.7404844603275
61,11386,410967.85848308326,2835160.1544924635,354395.01931155793,396756.8376211219,354395.01931155793,0.9209102934667497,326366.02123736124,4532.861406074462
62,12899,356676.37526133045,2127610.6094265124,265951.32617831405,433707.210552335,265951.32617831405,0.9374350026003817,249312.0821475428,3462.667807604761
63,17939,369276.5533358287,2224367.719357115,278045.9649196394,453580.1056319233,278045.9649196394,0.9462670594917139,263105.7376280434,3654.246355945047
64,18378,555408.6060142978,2194101.6548767756,274262.70685959695,486672.1132365888,274262.70685959695,0.9580625765179606,262760.83557669556,3649.4560496763274
65,10692,379554.73507941084,2582180.2861360926,322772.5357670116,407443.83414868836,322772.5357670116,0.9256896636089382,298787.20005636895,4149.822223005124
66,7098,291029.9088702778,1942141.2724506543,242767.6590563318,445440.81805629726,242767.6590563318,0.942682431400414,228852.8071046096,3178.5112097862443
67,17264,340540.9531539774,2503597.846811962,312949.73085149523,451873.84336235793,312949.73085149523,0.9455439510440737,295907.72498750227,4109.829513715309
68,11539,482643.475322262,2067641.242737763,258455.1553422204,426850.3503766083,258455.1553422204,0.9343685215073545,241492.3613730641,3354.0605746258902
69,399,505148.7109444875,1803625.0282623628,225453.12853279535,509737.4818847351,225453.12853279535,0.9660526545967397,217799.5933062469,3024.9943514756515
70,8463,398854.2130006175,2691787.1577992234,336473.39472490293,400619.0355449168,336473.39472490293,0.9226375208867824,310442.9787533442,4311.708038240892
71,14718,356922.3050133888,2276059.559042193,284507.4448802741,503807.63358762243,284507.4448802741,0.9639984948903848,274264.7486496934,3809.2326201346305
72,11269,463445.15393227,2609189.9470994105,326148.7433874263,419880.22284760757,326148.7433874263,0.9312513857140169,303726.46922842605,4218.4231837281395
73,18278,302518.8471293536,2097761.9074940807,262220.2384367601,470946.27064506593,262220.2384367601,0.9526149848458909,249794.9284647201,3469.374006454446
74,9984,461547.7322692117,2173301.6811187286,271662.7101398411,449861.80163374287,271662.7101398411,0.9446595553617297,256628.77496906475,3564.2885412370106
75,5511,363106.6554651198,2183284.918294188,272910.6147867735,469756.775096689,272910.6147867735,0.9522029315008578,259866.28743766708,3609.2539921898206
76,6564,342951.882255283,2315356.13916256,289419.51739532,468656.9552562276,289419.51739532,0.9518219427322875,275475.84731185454,3826.0534348868687
77,1599,401314.44599859783,2233306.7862453638,279163.34828067047,477749.92663904733,279163.34828067047,0.9549718404176503,266593.13648474537,3702.682451177019
78,2852,432303.5082185346,1980423.846941224,247552.980867653,470506.1205802405,247552.980867653,0.9524625123908445,235784.93410704742,3274.7907514867698
79,1552,428969.80744004104,2049523.0689006124,256190.38361257655,442529.18922570645,256190.38361257655,0.9413803114023241,241172.5831034882,3349.6192097706694
